ID,Form_ID,Cognateset_ID,Morph_Index
1,1-2e832695acc0021e408170941763724b-10677,55770,1
2,2-2e832695acc0021e408170941763724b-12198,55770,1
3,3-3a3addff5e0ccdd6eb05814af7491679-13778,55770,1
4,4-20a6f30e93c39155150cc195c6c563ab-14023,55770,1
5,79-5e45d41167e4c2ddf23aa94f7a1a4872-69670,55770,1
6,80-5e45d41167e4c2ddf23aa94f7a1a4872-70770,55770,1
7,1-1213c62fceeefdeb5bd6ed9620494246-9865,55771,2
8,2-1213c62fceeefdeb5bd6ed9620494246-11385,55771,2
9,3-1213c62fceeefdeb5bd6ed9620494246-12938,55771,2
10,4-1213c62fceeefdeb5bd6ed9620494246-14067,55771,2
11,79-1213c62fceeefdeb5bd6ed9620494246-70335,55771,2
12,80-1213c62fceeefdeb5bd6ed9620494246-70814,55771,2
13,4-f7a657c78a15abb5302fcf8acfcfe148-16062,55772,1
14,79-845c5c73f0ed1cd33befc290a5feec50-69998,55772,1
15,80-845c5c73f0ed1cd33befc290a5feec50-71482,55772,1
16,2-0cb76ccfda2870bb9f51541586e84b03-15869,55772,2
17,72-d4579b2688d675235f402f6b4b43bcbf-59548,55773,0
18,1-d4579b2688d675235f402f6b4b43bcbf-10679,55773,1
19,2-d4579b2688d675235f402f6b4b43bcbf-12201,55773,1
20,4-3a1e8b6b304ab2584ea43bbcb228a9b6-16187,55773,1
21,79-3d6e42e3d28f98c1e38c354aa6a614ff-69878,55773,1
22,80-3d6e42e3d28f98c1e38c354aa6a614ff-71607,55773,1
23,74-9a97eda6d89f5c9e84560468a0679707-60167,55774,0
24,2-9a97eda6d89f5c9e84560468a0679707-11120,55774,1
25,3-c9e6cb9d0a8159d85f5044f794dda070-12679,55774,1
26,4-2427f3a81d0055bb2fee171d9256da6b-14037,55774,1
27,73-9a97eda6d89f5c9e84560468a0679707-59765,55774,1
28,80-6067891eadc43d2cf1d6520dabe67a26-70784,55774,1
29,1-c9e6cb9d0a8159d85f5044f794dda070-9622,55774,2
30,79-6067891eadc43d2cf1d6520dabe67a26-69907,55774,3
31,1-17d965747c701d6ffb406cad0f4265dc-10777,55775,1
32,2-17d965747c701d6ffb406cad0f4265dc-12312,55775,1
33,3-17d965747c701d6ffb406cad0f4265dc-13734,55775,1
34,4-ea466148f58967d9f9b461547294be55-14502,55775,1
35,79-ff3f6a193d65709c4db6487202608586-70001,55775,1
36,80-ff3f6a193d65709c4db6487202608586-71249,55775,1
37,4-34d1f91fb2e514b8576fab1a75a89a6b-14057,55776,1
38,1-34d1f91fb2e514b8576fab1a75a89a6b-15178,55776,1
39,72-282a002dd8c2cb4e4a722c302719e292-59612,55776,1
40,80-34d1f91fb2e514b8576fab1a75a89a6b-70804,55776,1
41,1-de1a950da85f5e3d18138d6710a83331-9765,55777,1
42,4-aa6f1ae52070735cb72e4f297360792d-14186,55777,1
43,79-2c5ca38849d1b0b961844c065214ff1a-68207,55777,1
44,80-2c5ca38849d1b0b961844c065214ff1a-70933,55777,1
45,1-34b569aa5f872cc9d12a7f4e5adf8ec0-10134,55778,0
46,2-34b569aa5f872cc9d12a7f4e5adf8ec0-11658,55778,0
47,4-34b569aa5f872cc9d12a7f4e5adf8ec0-14121,55778,0
48,74-50c91a1c1d28b21c7adfaea39f0aef61-60075,55778,0
49,80-34b569aa5f872cc9d12a7f4e5adf8ec0-70868,55778,0
50,3-50c91a1c1d28b21c7adfaea39f0aef61-13224,55778,1
51,1-d0b1ac85b47023da02270375366abaa7-9875,55779,2
52,2-d0b1ac85b47023da02270375366abaa7-11395,55779,2
53,4-2f9c691594932556ef427450338a74b7-14074,55779,2
54,79-35129a9245fd8dacde0daf975d61d700-69539,55779,2
55,80-35129a9245fd8dacde0daf975d61d700-70821,55779,2
56,3-bd5f4b0419caa97dd2f9b4d3238ff92f-12395,55780,0
57,4-5f28bb24a7de74b914b857430681746a-14104,55780,0
58,72-1e4483e833025ac10e6184e75cb2d19d-59288,55780,0
59,72-a0f7335349f683b437fbb8ebf1ef3445-59412,55780,0
60,75-07202a7e6cbfbabe27abba87989f807e-60341,55780,0
61,80-ca2613c72cae2ffd700f8e98f0f5263d-70851,55780,0
62,2-1e4483e833025ac10e6184e75cb2d19d-10848,55780,1
63,72-841a2d689ad86bd1611447453c22c6fc-59335,55780,1
64,73-07202a7e6cbfbabe27abba87989f807e-59795,55780,1
65,74-841a2d689ad86bd1611447453c22c6fc-59923,55780,1
66,79-ca2613c72cae2ffd700f8e98f0f5263d-69264,55780,1
67,3-bb7409e82cb01b88edc816a6b2f3ec7d-13038,55781,0
68,4-bb7409e82cb01b88edc816a6b2f3ec7d-14591,55781,0
69,79-18447835972112dff20bdca9604a7e57-68657,55781,0
70,80-18447835972112dff20bdca9604a7e57-71338,55781,0
71,1-bb7409e82cb01b88edc816a6b2f3ec7d-9950,55781,1
72,72-e7efda40b1c94805070cd9bf9638ae27-59359,55782,1
73,79-50cf81cddcdefedce553079b65392ab5-68570,55782,1
74,1-4ab4aca1c61c78b89338c3e3804e0e9d-9713,55782,2
75,4-906ef3ceb61fb3ab81914f0c3c2c9499-16157,55782,2
76,80-50cf81cddcdefedce553079b65392ab5-71577,55782,2
77,3-4ab4aca1c61c78b89338c3e3804e0e9d-12775,55782,3
78,1-ee5208ab62d1a569908fde449c87da98-10696,55783,1
79,2-ee5208ab62d1a569908fde449c87da98-12221,55783,1
80,3-ee5208ab62d1a569908fde449c87da98-13805,55783,1
81,4-ee5208ab62d1a569908fde449c87da98-16135,55783,1
82,79-917323de2a0ffbdf7371b2ec14f43689-69816,55783,1
83,80-917323de2a0ffbdf7371b2ec14f43689-71555,55783,1
84,1-69d4bb17f27c77514f91f524ecae24d0-10701,55784,2
85,2-69d4bb17f27c77514f91f524ecae24d0-12227,55784,2
86,4-69d4bb17f27c77514f91f524ecae24d0-16170,55784,2
87,79-b3d9f948c25f13e79b70077f03a01794-69712,55784,2
88,80-b3d9f948c25f13e79b70077f03a01794-71590,55784,2
89,3-dcab87ce57b56a3fd944a8108abf634c-13814,55784,3
90,1-b1b9a972ccd8c962a473909b97007eb4-10127,55785,1
91,2-b1b9a972ccd8c962a473909b97007eb4-11651,55785,1
92,4-b1b9a972ccd8c962a473909b97007eb4-14222,55785,1
93,72-b1b9a972ccd8c962a473909b97007eb4-59450,55785,1
94,74-b1b9a972ccd8c962a473909b97007eb4-60063,55785,1
95,80-b1b9a972ccd8c962a473909b97007eb4-70969,55785,1
96,1-d8ff99616fc9df8a54a32eec86ba8109-9608,55786,1
97,4-d8ff99616fc9df8a54a32eec86ba8109-14152,55786,1
98,12-d8ff99616fc9df8a54a32eec86ba8109-15029,55786,1
99,13-d8ff99616fc9df8a54a32eec86ba8109-15089,55786,1
100,74-d8ff99616fc9df8a54a32eec86ba8109-59935,55786,1
101,75-d8ff99616fc9df8a54a32eec86ba8109-60309,55786,1
102,79-d8ff99616fc9df8a54a32eec86ba8109-70461,55786,1
103,80-d8ff99616fc9df8a54a32eec86ba8109-70899,55786,1
104,2-d8ff99616fc9df8a54a32eec86ba8109-11110,55786,2
105,3-d8ff99616fc9df8a54a32eec86ba8109-12665,55786,2
106,10-d8ff99616fc9df8a54a32eec86ba8109-14908,55786,2
107,11-d8ff99616fc9df8a54a32eec86ba8109-14969,55786,2
108,73-d8ff99616fc9df8a54a32eec86ba8109-59763,55786,2
109,1-30056e1cab7a61d256fc8edd970d14f5-10122,55787,1
110,3-30056e1cab7a61d256fc8edd970d14f5-13212,55787,1
111,4-30056e1cab7a61d256fc8edd970d14f5-14539,55787,1
112,72-30056e1cab7a61d256fc8edd970d14f5-59445,55787,1
113,74-30056e1cab7a61d256fc8edd970d14f5-60052,55787,1
114,74-30056e1cab7a61d256fc8edd970d14f5-60053,55787,1
115,80-30056e1cab7a61d256fc8edd970d14f5-71286,55787,1
116,74-613d5e4f4cd6c68618ac86bd244c7153-60174,55788,1
117,79-d8ff99616fc9df8a54a32eec86ba8109-70461,55788,1
118,1-dcb1a632ff1b1ef686228460be95d73f-9613,55788,2
119,4-613d5e4f4cd6c68618ac86bd244c7153-15960,55788,2
120,80-d8ff99616fc9df8a54a32eec86ba8109-71380,55788,2
121,12-bab4ff04cc14af66e4d42c85f888cfe6-15048,55789,0
122,1-bab4ff04cc14af66e4d42c85f888cfe6-10237,55789,1
123,2-bab4ff04cc14af66e4d42c85f888cfe6-11754,55789,1
124,3-bab4ff04cc14af66e4d42c85f888cfe6-13325,55789,1
125,4-bab4ff04cc14af66e4d42c85f888cfe6-14194,55789,1
126,10-bab4ff04cc14af66e4d42c85f888cfe6-14927,55789,1
127,11-bab4ff04cc14af66e4d42c85f888cfe6-14988,55789,1
128,13-bab4ff04cc14af66e4d42c85f888cfe6-15108,55789,1
129,72-bab4ff04cc14af66e4d42c85f888cfe6-59381,55789,1
130,73-bab4ff04cc14af66e4d42c85f888cfe6-59788,55789,1
131,74-bab4ff04cc14af66e4d42c85f888cfe6-59970,55789,1
132,75-bab4ff04cc14af66e4d42c85f888cfe6-60334,55789,1
133,79-78bb6350aca1ac5a77dc3fafe6fa8a45-68415,55789,1
134,80-78bb6350aca1ac5a77dc3fafe6fa8a45-70941,55789,1
135,1-41d1de28e96dc1cde568d3b068fa17bb-9600,55790,0
136,4-41d1de28e96dc1cde568d3b068fa17bb-14123,55790,0
137,72-41d1de28e96dc1cde568d3b068fa17bb-59349,55790,0
138,80-41d1de28e96dc1cde568d3b068fa17bb-70870,55790,0
139,2-41d1de28e96dc1cde568d3b068fa17bb-11104,55790,1
140,3-41d1de28e96dc1cde568d3b068fa17bb-12656,55790,1
141,73-41d1de28e96dc1cde568d3b068fa17bb-59803,55790,1
142,75-41d1de28e96dc1cde568d3b068fa17bb-60348,55790,2
143,1-d8862646c09125096d06d16a074858e7-9820,55791,1
144,4-d8862646c09125096d06d16a074858e7-16127,55791,1
145,80-d8862646c09125096d06d16a074858e7-71547,55791,1
146,3-d8862646c09125096d06d16a074858e7-12891,55791,4
147,1-6b157916b43b09df5a22f658ccb92b64-9799,55792,1
148,2-6b157916b43b09df5a22f658ccb92b64-11319,55792,1
149,10-6b157916b43b09df5a22f658ccb92b64-14899,55792,1
150,11-6b157916b43b09df5a22f658ccb92b64-14960,55792,1
151,12-6b157916b43b09df5a22f658ccb92b64-15020,55792,1
152,13-6b157916b43b09df5a22f658ccb92b64-15080,55792,1
153,4-6b157916b43b09df5a22f658ccb92b64-16085,55792,1
154,72-6b157916b43b09df5a22f658ccb92b64-59369,55792,1
155,73-6b157916b43b09df5a22f658ccb92b64-59752,55792,1
156,74-6b157916b43b09df5a22f658ccb92b64-59958,55792,1
157,75-6b157916b43b09df5a22f658ccb92b64-60298,55792,1
158,79-74a5dd4dcf98ad8736286cc0b601efb6-69266,55792,1
159,80-74a5dd4dcf98ad8736286cc0b601efb6-70931,55792,1
160,3-6b157916b43b09df5a22f658ccb92b64-12866,55792,2
161,2-5144abbeb84239f038276f8e36b2251d-11189,55793,2
162,4-5144abbeb84239f038276f8e36b2251d-16309,55793,2
163,79-1f47b5548910f7b5128a5d6985875238-70345,55793,2
164,80-1f47b5548910f7b5128a5d6985875238-71729,55793,2
165,1-40a1269384fda0e2827b751a7d34cec0-9922,55794,1
166,4-40a1269384fda0e2827b751a7d34cec0-16305,55794,1
167,80-40a1269384fda0e2827b751a7d34cec0-71725,55794,1
