ID,Etymon_ID,Description
55770,55770,climb/ascend
55771,55771,cough
55772,55772,descend
55773,55773,do/make
55774,55774,eat
55775,55775,far
55776,55776,go
55777,55777,hair (body)
55778,55778,hundred
55779,55779,ill/hurt
55780,55780,flesh/meat/animal
55781,55781,necklace
55782,55782,palm (hand)
55783,55783,seek
55784,55784,sharpen
55785,55785,ten
55786,55786,ear
55787,55787,five
55788,55788,hear
55789,55789,leaf
55790,55790,nose
55791,55791,bile
55792,55792,blood
55793,55793,blow
55794,55794,comb
55795,55795,die
55796,55796,fear
55797,55797,four
55798,55798,give
55799,55799,horn
55800,55800,medicine
55801,55801,mother-in-law/paternal aunt
55802,55802,one
55803,55803,salt
55804,55804,seven
55805,55805,son-in-law/daughter-in-law
55806,55806,steal
55807,55807,two
55808,55808,buy
55809,55809,call
55810,55810,nine
55811,55811,bone
55812,55812,breast
55814,55814,grandchild
55815,55815,insect
55816,55816,tie
55817,55817,break
55818,55818,desire/want
55819,55819,easy/cheap
55820,55820,eat (fruit)
55821,55821,fish/aquatic creature
55822,55822,fly
55823,55823,lip
55824,55824,near
55826,55826,pus
55827,55827,twist/knead
55828,55828,forget
55829,55829,navel
55830,55830,knife
55831,55831,vagina
55832,55832,child/young/younger aunt
55834,55834,drive
55835,55835,fat
55837,55837,thin
55838,55838,dog
55839,55839,egg
55840,55840,exchange
55841,55841,laugh/mock
55842,55842,water
55843,55843,be/exist/have
55844,55844,bite
55845,55845,brother/sister (older)
55846,55846,crooked
55847,55847,earth
55848,55848,fire
55849,55849,foot/leg
55850,55850,fruit
55851,55851,know/see
55852,55852,more than
55853,55853,spear
55854,55854,squirrel
55855,55855,tail
55856,55856,tongue
55857,55857,crab
55858,55858,wash (hands)
55859,55859,awaken
55860,55860,brother-in-law
55861,55861,burn
55862,55862,dig
55863,55863,field
55864,55864,head
55865,55865,itchy
55866,55866,pestle
55867,55867,tall
55868,55868,word/speech
55869,55869,bee
55870,55870,sister-in-law
55871,55871,cloud
55872,55872,decay
55873,55873,full/complete
55874,55874,leftside
55875,55875,tempt
55876,55876,water buffalo
55877,55877,wither/fade
55878,55878,basket strap
55879,55879,chase
55880,55880,decieve
55881,55881,hair (head)
55882,55882,otter
55883,55883,pot
55884,55884,run/flee
55885,55885,sit
55886,55886,smell
55887,55887,village/land
55888,55888,bear
55889,55889,door
55890,55890,rice (hulled)
55891,55891,damp/gentle
55892,55892,house
55893,55893,needle
55894,55894,sweet
55895,55895,add together
55896,55896,back
55897,55897,hide
55898,55898,round
55899,55899,three
55900,55900,warm
55901,55901,year
55902,55902,blow
55903,55903,curry/green vegetable
55904,55904,expect
55905,55905,sharp
55906,55906,clothes
55907,55907,cross
55908,55908,hand/arm
55909,55909,liver
55910,55910,ripe/well-cooked
55912,55912,flower
55915,55915,corpse
55916,55916,join
55917,55917,clan
55918,55918,dream
55919,55919,drink
55920,55920,enter
55921,55921,fall (from a height)
55922,55922,penis
55923,55923,pine (tree)
55924,55924,dry
55925,55925,finger/toe
55926,55926,hunt
55927,55927,lightweight
55928,55928,alive
55929,55929,name
55930,55930,sky/heaven/rain
55931,55931,stand
55932,55932,think/soul
55933,55933,wood/tree
55934,55934,monkey
55935,55935,correct
55936,55936,heart
55937,55937,mountain
55939,55939,root
55940,55940,stone
55942,55942,enemy/war
55943,55943,intestines
55944,55944,horse
55945,55945,skin/bark
55946,55946,snake
55947,55947,twenty
55948,55948,village
55949,55949,clean
55950,55950,fowl/chicken
55951,55951,new
55952,55952,sister
55953,55953,white
55954,55954,lung
55955,55955,mushroom
55956,55956,old
55957,55957,bark
55958,55958,mouth
55959,55959,sell
55960,55960,hole/anus
55961,55961,follow
55962,55962,sour
55963,55963,have the ability
55964,55964,snot
55965,55965,stick (v.)
55967,55967,cry/weep
55968,55968,rib
55969,55969,shoot
55970,55970,sleep/lie down
55972,55972,sew
55973,55973,finish
55974,55974,cut (vegetables)
55975,55975,kill
55976,55976,burst
55978,55978,rice (cooked)
55980,55980,squeeze/extinguish
55981,55981,heavy
55982,55982,ashes
55983,55983,banana
55986,55986,smoke
55987,55987,ashamed
55988,55988,big
55989,55989,breath
55990,55990,"fine, be"
55991,55991,weave
55992,55992,fast/quick
55993,55993,green
55994,55994,lick
55995,55995,eye/sun
55996,55996,louse
55997,55997,black
55998,55998,burn
55999,55999,lung/chest
56000,56000,brain
56001,56001,emerge
56002,56002,pig
56004,56004,belly/stomach
56005,56005,borrow
56006,56006,deep
56007,56007,knee
56008,56008,six
56009,56009,road
56010,56010,tooth
56011,56011,night
56012,56012,walk
56013,56013,thorn
56014,56014,rub/brush
56015,56015,grind/pound/crush
56016,56016,break
56017,56017,shake
56018,56018,throat/larynx/voice
56019,56019,marrow
56020,56020,cut (wood)
56021,56021,self
56022,56022,star
56023,56023,start
56024,56024,wind (n.)
56025,56025,"wrong, be"
56026,56026,small/few
56028,56028,father/male
56030,56030,yam
56031,56031,goat
56032,56032,older relative
56035,56035,daughter
56036,56036,long
56037,56037,moon
56038,56038,branch
56039,56039,lift
56040,56040,mosquito
56041,56041,elephant
56042,56042,large/big
56043,56043,boat
56045,56045,run/flee
56046,56046,raptor / falcom / hawk / kite
56047,56047,tight
56048,56048,kiss
56049,56049,ant
56050,56050,twist
56051,56051,yawn
56052,56052,saliva
56053,56053,close/shut
56054,56054,open
56055,56055,open (mouth)
56056,56056,suck (as a leech)
56058,56058,strong
56059,56059,neck
56060,56060,kidney
56061,56061,hit/strike
56063,56063,dry (v.t.)
56064,56064,wet
56065,56065,pick up
56066,56066,cat
56067,56067,fish
56068,56068,hungry
56069,56069,untie/loose
56071,56071,fight
56072,56072,lizard
56073,56073,good
56074,56074,river
56075,56075,like/want
56077,56077,resemble
56078,56078,fan
56079,56079,wrinkle
56080,56080,low
56081,56081,star
56082,56082,bear
56083,56083,kick
56084,56084,seed
56088,56088,3rd person
56089,56089,1st person
56091,56091,face
56094,56094,man/human
56095,56095,iron
56098,56098,trunk (of tree)?
56099,56099,come
56101,56101,crawl
56102,56102,hit
56103,56103,burst
56106,56106,fry
56107,56107,roast
56108,56108,toast
56109,56109,rub
56111,56111,carry (on shoulders)
56112,56112,arrive
56113,56113,wash
56114,56114,wash (hands)
56115,56115,lend
56116,56116,roll (in a roll)
56118,56118,difficult/hard
56119,56119,late
56120,56120,dirty
56121,56121,shallow
56123,56123,lost
56124,56124,rough
56126,56126,look
56127,56127,full/satiated
56130,56130,numb/paralyzed
56132,56132,bird
56133,56133,tiger
56134,56134,arrive
56135,56135,wing
56136,56136,side
56143,56143,hot/spicy/pungent
56144,56144,pinch
56145,56145,cold
56146,56146,shadow/spirit/soul
56147,56147,touch
56149,56149,shout
56151,56151,cold
56152,56152,ginger
56153,56153,peel (v.)/strip (v.)
56154,56154,thick
56155,56155,scoop out
56157,56157,belly
56158,56158,light/shine
56159,56159,scar/wound
56160,56160,swallow
56161,56161,rice (in field)
56162,56162,child/diminutive
56163,56163,mortar
56166,56166,hear
56168,56168,parrot
56169,56169,right side
56170,56170,song
56172,56172,day
56173,56173,chop
56174,56174,cattle
56178,56178,many
56180,56180,thirst
56182,56182,mind/think
56183,56183,blind
56184,56184,deaf
56185,56185,placenta
56186,56186,price
56187,56187,respect
56192,56192,vomit
58161,58161,cattle/buffalo
58162,58162,foot
58163,58163,hand/arm
58164,58164,eye/sun
58165,58165,sleep
58341,58341,descend
58370,58370,defecate
58390,58390,deer
59651,59651,dark
59654,59654,put/place
59835,59835,moon
60267,60267,ask
60268,60268,basket
60269,60269,crow (n.)
60276,60276,elephant
60279,60279,plantain
60381,60381,red
70741,70741,voice
70742,70742,urine
70744,70744,fly
70745,70745,stop / shut
70746,70746,bracelet
70747,70747,snare / trap
70749,70749,thigh
70751,70751,bark
70752,70752,sneeze
70753,70753,tickle
73760,73760,hair (body)
