ID,Name,Initial,Description
55770,ka,k,climb/ascend
55771,kʰaː,k,cough
55772,taː,t,descend
55773,saː,s,do/make
55774,zaː,z,eat
55775,tlaː,t,far
55776,waː,w,go
55777,kwaː,k,hair (body)
55778,ʃaː,ʃ,hundred
55779,zaː,z,ill/hurt
55780,saː,s,flesh/meat/animal
55781,caː,c,necklace
55782,jaː,j,palm (hand)
55783,pʰaː,p,seek
55784,d͡zaː,d,sharpen
55785,raː,r,ten
55786,naː,n,ear
55787,ŋaː,ŋ,five
55788,naː,n,hear
55789,naː,n,leaf
55790,naː,n,nose
55791,tʰi,t,bile
55792,sʰi,s,blood
55793,li,l,blow
55794,si,s,comb
55795,tʰi,t,die
55796,t͡si,t,fear
55797,tli,t,four
55798,mi,m,give
55799,t͡si,t,horn
55800,ri,r,medicine
55801,ni,n,mother-in-law/paternal aunt
55802,si,s,one
55803,t͡si,t,salt
55804,ni,n,seven
55805,r̥e,r,son-in-law/daughter-in-law
55806,li,l,steal
55807,ni,n,two
55808,lo,l,buy
55809,ho,h,call
55810,ko,k,nine
55811,ru,r,bone
55812,nuj,n,breast
55814,d͡zu,d,grandchild
55815,kʰu,k,insect
55816,suj,s,tie
55817,kaj,k,break
55818,ŋaj,ŋ,desire/want
55819,plaj,p,easy/cheap
55820,ʃaj,ʃ,eat (fruit)
55821,kʰaj,k,fish/aquatic creature
55822,praj,p,fly
55823,caj,c,lip
55824,naj,n,near
55826,naj,n,pus
55827,naj,n,twist/knead
55828,laj,l,forget
55829,laj,l,navel
55830,kʰaj,k,knife
55831,haj,h,vagina
55832,naw,n,child/young/younger aunt
55834,tʰaːw,t,drive
55835,tʰaw,t,fat
55837,kaw,k,thin
55838,w̥uj,w,dog
55839,d͡zuj,d,egg
55840,tʰuj,t,exchange
55841,nuj,n,laugh/mock
55842,d͡zuj,d,water
55843,lej,l,be/exist/have
55844,kej,k,bite
55845,mej,m,brother/sister (older)
55846,kʰej,k,crooked
55847,lej,l,earth
55848,mej,m,fire
55849,pʰej,p,foot/leg
55850,tʰej,t,fruit
55851,tʰej,t,know/see
55852,mej,m,more than
55853,zej,z,spear
55854,lej,l,squirrel
55855,mej,m,tail
55856,lej,l,tongue
55857,rew,r,crab
55858,pʰrew,p,wash (hands)
55859,tʰoːw,t,awaken
55860,mak,m,brother-in-law
55861,cʰoːw,c,burn
55862,cʰoːw,c,dig
55863,loːw,l,field
55864,koːw,k,head
55865,moːw,m,itchy
55866,koːw,k,pestle
55867,cow,c,tall
55868,tloːw,t,word/speech
55869,kʰoːj,k,bee
55870,moːw,m,sister-in-law
55871,moj,m,cloud
55872,ʃoj,ʃ,decay
55873,poj,p,full/complete
55874,joj,j,leftside
55875,soj,s,tempt
55876,loj,l,water buffalo
55877,hoːj,h,wither/fade
55878,naːm,n,basket strap
55879,ʃaːm,ʃ,chase
55880,nɐm,n,decieve
55881,sɐːm,s,hair (head)
55882,rɐːm,r,otter
55883,ɐːm,ɐ,pot
55884,sɐm,s,run/flee
55885,pɐm,p,sit
55886,nɐːm,n,smell
55887,rɐːm,r,village/land
