ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Description
1-c61262691a527e5235ecad69163d03ec-9342,9342,1,c61262691a527e5235ecad69163d03ec,si+ðu+hu,si+ðu+hu,young (of animal)/calf/foal
1-bcb2750ff6f20411b7e305760985726d-9352,9352,1,bcb2750ff6f20411b7e305760985726d,si+li,si+li,buffalo
1-f1bdf5ed1d7ad7ede4e3809bd35644b0-9357,9357,1,f1bdf5ed1d7ad7ede4e3809bd35644b0,si+kwe,si+kwe,horse
1-f74c6af46a78becb2f1bd3f95bbd5858-9364,9364,1,f74c6af46a78becb2f1bd3f95bbd5858,ʔa+fak,ʔa+fak,pig
1-23ec24c5ca59000543cee1dfded0cbea-9370,9370,1,23ec24c5ca59000543cee1dfded0cbea,ʔa+mɐ,ʔa+mɐ,sheep
1-b9edbf3b72425b95c955cbb5878766fe-9372,9372,1,b9edbf3b72425b95c955cbb5878766fe,ʔa+har,ʔa+har,chicken/fowl (general term)
1-8d183216199588c13a04fc83e1afc87f-9381,9381,1,8d183216199588c13a04fc83e1afc87f,ʔa+w̥i,ʔa+w̥i,dog (Canis familiaris)
1-6c300237d41be68d7d2adffc0f8668fa-9385,9385,1,6c300237d41be68d7d2adffc0f8668fa,tek+ku,tek+ku,cat (Felis domesticus)
1-cd6c416546d256996e4941fe1170458e-9394,9394,1,cd6c416546d256996e4941fe1170458e,ʔa+co,ʔa+co,deer
1-0514cd34fe3f18686af953d9f479f995-9399,9399,1,0514cd34fe3f18686af953d9f479f995,ci+him,ci+him,Tibetan/Himalayan bear (Selenarctos thibetanus)
1-d0763edaa9d9bd2a9516280e9044d885-9403,9403,1,d0763edaa9d9bd2a9516280e9044d885,nə+si,nə+si,monkey
1-e756f6aafafdef4debdb5e49bcbd3f11-9414,9414,1,e756f6aafafdef4debdb5e49bcbd3f11,ʃim+rɐk,ʃim+rɐk,rat
1-eac074b0503b45740d49b18eb659bcfc-9417,9417,1,eac074b0503b45740d49b18eb659bcfc,kʰə+li,kʰə+li,squirrel
1-e4b48fd541b3dcb99cababc87c2ee88f-9429,9429,1,e4b48fd541b3dcb99cababc87c2ee88f,ma+fu,ma+fu,elephant
1-938c2cc0dcc05f2b68c4287040cfcf71-9439,9439,1,938c2cc0dcc05f2b68c4287040cfcf71,ke+rɐt,ke+rɐt,frog
1-de1b2a7baf7850243db71c4abd4e5a39-9448,9448,1,de1b2a7baf7850243db71c4abd4e5a39,kə+pʰwi,kə+pʰwi,snake
1-0ce031b7550b0eac48ef984c9adc8f0d-9458,9458,1,0ce031b7550b0eac48ef984c9adc8f0d,wu+ðu,wu+ðu,bird (general)
1-daff0cb63e637cc6545b3f42180e6655-9481,9481,1,daff0cb63e637cc6545b3f42180e6655,na+ʃu,na+ʃu,dove/pigeon (general term)
1-2987b46d0cce82f1ce38e08c23f39cc1-9491,9491,1,2987b46d0cce82f1ce38e08c23f39cc1,ʔa+kʰwe,ʔa+kʰwe,fish (general)
1-bd589331b99367c8db92ab7ffaecc30b-9502,9502,1,bd589331b99367c8db92ab7ffaecc30b,kʰu+ri,kʰu+ri,crab
1-de2cb4e86f7f554105e276fc2492d7b6-9504,9504,1,de2cb4e86f7f554105e276fc2492d7b6,sɯ+li+pʰuŋ,sɯ+li+pʰuŋ,clam/mussel/oyster
1-dce41a93f7edb175dfc59a4d52105847-9508,9508,1,dce41a93f7edb175dfc59a4d52105847,ʔa+kʰɐ,ʔa+kʰɐ,insect
1-63b07e828bf016e976ff95d6ee07a105-9511,9511,1,63b07e828bf016e976ff95d6ee07a105,sam+ðej,sam+ðej,ant
1-9dfd70fdf15a3cb1ea00d7799ac6651b-9514,9514,1,9dfd70fdf15a3cb1ea00d7799ac6651b,ʔa+kʰi,ʔa+kʰi,bee
1-61aa9eafc7982cee3eff4e494f174da2-9533,9533,1,61aa9eafc7982cee3eff4e494f174da2,ʔa+rɐk,ʔa+rɐk,louse
1-f1a81d782dea6a19bdca383bffe68452-9539,9539,1,f1a81d782dea6a19bdca383bffe68452,ʃim+con+pʰə+ron,ʃim+con+pʰə+ron,spider
1-96cc031af2cdfbd22fdf881180842282-9542,9542,1,96cc031af2cdfbd22fdf881180842282,ŋə+fi+pi,ŋə+fi+pi,leech (land)
1-772b2335c8b6413f82db0106672511a3-9543,9543,1,772b2335c8b6413f82db0106672511a3,ŋə+fi+pi,ŋə+fi+pi,leech (water)
1-54b9ba3422a66bc688ebad7271e8affb-9554,9554,1,54b9ba3422a66bc688ebad7271e8affb,ʔa+ca+wa,ʔa+ca+wa,side (right)
1-a4a1b534c47ba8a6cccc0d3fc48095fb-9555,9555,1,a4a1b534c47ba8a6cccc0d3fc48095fb,ʔa+ji+wa,ʔa+ji+wa,side (left)
1-d2a1af14dfe703680d072eeb66402271-9556,9556,1,d2a1af14dfe703680d072eeb66402271,ʔa+pu+ʃit,ʔa+pu+ʃit,back (of something)
1-12e11cc72f8d0d7e1563b19c13a3bdad-9557,9557,1,12e11cc72f8d0d7e1563b19c13a3bdad,ʔa+mɐ+ŋi,ʔa+mɐ+ŋi,front (of something)
1-9da3be8f92c0bbfd7a7d6d6ec0b3fad3-9558,9558,1,9da3be8f92c0bbfd7a7d6d6ec0b3fad3,tʰa+nɐ,tʰa+nɐ,behind
1-2917f8743e8dd4d36ae50a74526d28de-9559,9559,1,2917f8743e8dd4d36ae50a74526d28de,mə+mɐŋ,mə+mɐŋ,in front of
1-76bb99ab665c03e9f28ad29fc6440a3d-9560,9560,1,76bb99ab665c03e9f28ad29fc6440a3d,ʔa+rop,ʔa+rop,torso/trunk
1-6a856270a4f1d22cc89c2ea8a6d6a9ca-9563,9563,1,6a856270a4f1d22cc89c2ea8a6d6a9ca,ʔa+rop,ʔa+rop,bosom
1-9236aeee919c99af263dfc4284e4b597-9565,9565,1,9236aeee919c99af263dfc4284e4b597,ʔa+pʰə+ðɐ,ʔa+pʰə+ðɐ,flesh (between skin and fat)
1-08dcb91e985ab1cdad6a3ec72bcea8ce-9566,9566,1,08dcb91e985ab1cdad6a3ec72bcea8ce,ʔa+su,ʔa+su,flesh/meat
1-f7ce2cee5e399be357443ff5b94fd40a-9567,9567,1,f7ce2cee5e399be357443ff5b94fd40a,kʰə+rɐŋ,kʰə+rɐŋ,alive/be living
1-e155e1bb4a9c38e3baf90637ab7865df-9568,9568,1,e155e1bb4a9c38e3baf90637ab7865df,mi+rin,mi+rin,life
1-fe7388b04fdbb16a08a92709d8d7049a-9569,9569,1,fe7388b04fdbb16a08a92709d8d7049a,kə+sɐ,kə+sɐ,die/be dead
1-5edfeb1b4cf199674e825e8a1f521080-9570,9570,1,5edfeb1b4cf199674e825e8a1f521080,ʔa+ŋun,ʔa+ŋun,corpse/dead body
1-5edfeb1b4cf199674e825e8a1f521080-9571,9571,1,5edfeb1b4cf199674e825e8a1f521080,mɐ+roŋ,mɐ+roŋ,corpse/dead body
1-c529a74fa1f671f42e1ff2d9f5fe6f0c-9572,9572,1,c529a74fa1f671f42e1ff2d9f5fe6f0c,su+roŋ,su+roŋ,carcass/dead animal
1-521fc31c178060e9acea39818af08893-9573,9573,1,521fc31c178060e9acea39818af08893,kʰə+jip,kʰə+jip,sleep/ be asleep
1-36388a74b9d4c0f7fa3e4bc874e12ce4-9574,9574,1,36388a74b9d4c0f7fa3e4bc874e12ce4,kə+tʰe,kə+tʰe,awaken
1-96e89a298e0a9f469b9ae458d6afae9f-9575,9575,1,96e89a298e0a9f469b9ae458d6afae9f,ʔa+ke,ʔa+ke,head
1-f1d56a905eae9675f8a4a49571d66e0e-9577,9577,1,f1d56a905eae9675f8a4a49571d66e0e,kʰə+ŋə+pot,kʰə+ŋə+pot,fontanel (soft spots in baby skull)
1-f13460bd46c28e73e8d2b6122bea2241-9578,9578,1,f13460bd46c28e73e8d2b6122bea2241,ʔa+ke+rɐ,ʔa+ke+rɐ,skull
1-8b373710bcf876edd91f281e50ed58ab-9579,9579,1,8b373710bcf876edd91f281e50ed58ab,ke+ŋə+ʃe,ke+ŋə+ʃe,brain
1-7fc0fdba5dddca15964990f7f5b98fe9-9580,9580,1,7fc0fdba5dddca15964990f7f5b98fe9,nɐ+put+kʰur,nɐ+put+kʰur,sinus
1-78786591a300a5e82fa4b0ac6ae44eb5-9581,9581,1,78786591a300a5e82fa4b0ac6ae44eb5,ʔa+ke+su,ʔa+ke+su,scalp
1-d5997b8a54b713514ef924b163756fce-9582,9582,1,d5997b8a54b713514ef924b163756fce,ha+rkə+tʰor,ha+rkə+tʰor,comb (of rooster)
1-b576e248c2353138fbd9dc63952ba873-9583,9583,1,b576e248c2353138fbd9dc63952ba873,ʔa+ŋə+t͡sɐ,ʔa+ŋə+t͡sɐ,horn (of animal)
1-e25097b82b10c6bec09829bd827f7a5f-9584,9584,1,e25097b82b10c6bec09829bd827f7a5f,ʔa+ŋət+sɐ,ʔa+ŋət+sɐ,antler (of deer)
1-d5ca322453f2986b752e58b11af83d96-9585,9585,1,d5ca322453f2986b752e58b11af83d96,ʔa+mwe,ʔa+mwe,face
1-313bd1ddd22ab740017cc5377d96ca91-9586,9586,1,313bd1ddd22ab740017cc5377d96ca91,mu+swe,mu+swe,forehead/brow
1-f19bd0844e53369373385609e28dbf84-9587,9587,1,f19bd0844e53369373385609e28dbf84,ʔa+mɐk,ʔa+mɐk,eye
1-88a9ff099fccc16b78b0207598096861-9590,9590,1,88a9ff099fccc16b78b0207598096861,kʰə+ðɐk,kʰə+ðɐk,iris/pupil
1-9698358af487acc3072443606de024fd-9591,9591,1,9698358af487acc3072443606de024fd,kə+car,kə+car,white of eye
1-72e04b9ab3e41ff6e3e17ee0700f23b0-9592,9592,1,72e04b9ab3e41ff6e3e17ee0700f23b0,mɐk+fu,mɐk+fu,eyebrow
1-29d43f4c4cfe574127f36d99de76af81-9593,9593,1,29d43f4c4cfe574127f36d99de76af81,mɐk+pʰɐŋ+fu,mɐk+pʰɐŋ+fu,eyelash
1-17dbd2ca952b5cdd19995aa2c64d2eb3-9594,9594,1,17dbd2ca952b5cdd19995aa2c64d2eb3,ʔa+mɐk kə+kʰə+lap,ʔa+mɐk kə+kʰə+lap,blink (v.)
1-aaf6bed626d4c51eedfd0bdc19d4555b-9595,9595,1,aaf6bed626d4c51eedfd0bdc19d4555b,ʔat+cir+ði,ʔat+cir+ði,tear (n.)
1-d128b18a38a028dba7036184555068c5-9596,9596,1,d128b18a38a028dba7036184555068c5,mɐk+ʃi+pwe,mɐk+ʃi+pwe,eye sand
1-6bb9b0ae3bd5f416219b4fc514e01f7b-9597,9597,1,6bb9b0ae3bd5f416219b4fc514e01f7b,kə+cap,kə+cap,cry/weep (v.)
1-66cb03d30bad7305725f85785cb32b9d-9598,9598,1,66cb03d30bad7305725f85785cb32b9d,kʰə+ja,kʰə+ja,look at (v.)
1-6013221752df892237d0fc99fd8a328f-9599,9599,1,6013221752df892237d0fc99fd8a328f,ʔa+mɐk kʰə+ŋə+pi,ʔa+mɐk kʰə+ŋə+pi,blind
1-41d1de28e96dc1cde568d3b068fa17bb-9600,9600,1,41d1de28e96dc1cde568d3b068fa17bb,nɐ+put,nɐ+put,nose
1-3445d506d267e4e83efca15a8eadf166-9601,9601,1,3445d506d267e4e83efca15a8eadf166,nɐ+put+rɐ,nɐ+put+rɐ,nose bridge
1-5844661a1cc9ca67a026516db45fd2ce-9602,9602,1,5844661a1cc9ca67a026516db45fd2ce,nɐ+put+kʰur,nɐ+put+kʰur,nostril
1-af24aeef78033c847d5dd7f2a5af340b-9603,9603,1,af24aeef78033c847d5dd7f2a5af340b,nɐ+put+fu,nɐ+put+fu,nose hair
1-084e2002a99bf62c5677e80509c01cfd-9604,9604,1,084e2002a99bf62c5677e80509c01cfd,nap+ko,nap+ko,mucus
1-7de39a4e4d3fba2d5845ecccb2efe8b9-9605,9605,1,7de39a4e4d3fba2d5845ecccb2efe8b9,nap+tʰo sew lo,nap+tʰo sew lo,Flick the snot (from your nose)ǃ
1-f414fce6ba1839ed2f29b5061166fbd8-9606,9606,1,f414fce6ba1839ed2f29b5061166fbd8,nɐ+put su mə+tʰu lo,nɐ+put su mə+tʰu lo,Clean your noseǃ
